Name,Last Name,Firstst Name,Fights,Strikes,Total Strike Accuracy,Take Down,Take Down Accuracy,Knock Down,pass,Reversal,Substitution
"Meerschaert, Gerald",Meerschaert,Gerald,6,182,54.70%,6,37.50%,1,5,3,3
"Wellisch, Christian",Wellisch,Christian,5,181,37.40%,3,42.90%,1,3,1,1
"Clark, Laverne",Clark,Laverne,5,180,76.90%,2,100.00%,1,3,2,0
"Reljic, Goran",Reljic,Goran,4,180,51.40%,6,50.00%,1,4,2,0
"Marshman, Jack",Marshman,Jack,6,178,35.00%,0,-,3,0,0,0
"Barcelos, Raoni",Barcelos,Raoni,2,178,64.00%,5,83.30%,1,4,0,1
"Millender, Curtis",Millender,Curtis,3,178,48.20%,1,100.00%,2,1,0,0
"Narimani, Nad",Narimani,Nad,2,178,56.20%,7,43.80%,0,8,0,0
"Ayari, Jessin",Ayari,Jessin,3,177,40.20%,0,0.00%,0,0,0,0
"Eubanks, Sijara",Eubanks,Sijara,3,177,40.00%,5,62.50%,1,4,0,0
"Kotani, Naoyuki",Kotani,Naoyuki,5,176,58.30%,3,16.70%,0,4,3,0
"Kunitskaya, Yana",Kunitskaya,Yana,3,176,75.90%,6,50.00%,0,3,0,0
"Christison, Dan",Christison,Dan,2,175,60.30%,0,-,0,1,1,1
"Hironaka, Kuniyoshi",Hironaka,Kuniyoshi,4,175,66.00%,8,32.00%,1,13,0,0
"Wisniewski, Keith",Wisniewski,Keith,4,174,58.00%,6,42.90%,0,8,1,0
"Bravo, Martin",Bravo,Martin,3,174,43.30%,3,33.30%,1,0,0,0
"Jackson, Eugene",Jackson,Eugene,7,173,56.70%,2,50.00%,2,0,0,1
"Carter, Shonie",Carter,Shonie,6,172,55.00%,7,77.80%,2,4,4,0
"Ngannou, Francis",Ngannou,Francis,10,172,42.80%,0,0.00%,4,0,0,1
"Benoit, Ryan",Benoit,Ryan,7,171,39.60%,1,20.00%,4,3,2,0
"Hazelett, Dustin",Hazelett,Dustin,10,170,48.20%,2,50.00%,0,0,1,4
"Good, Lyman",Good,Lyman,6,170,52.80%,1,100.00%,2,1,0,0
"de la Rocha, Chris",de la Rocha,Chris,4,169,52.20%,4,30.80%,0,5,0,0
"Schnell, Matt",Schnell,Matt,4,169,39.50%,1,25.00%,0,2,0,0
"Hadzovic, Damir",Hadzovic,Damir,4,168,53.50%,0,0.00%,2,0,0,0
"Brennan, Chris",Brennan,Chris,3,167,84.30%,1,33.30%,0,1,0,1
"Giagos, Christos",Giagos,Christos,5,167,43.90%,6,40.00%,0,5,2,1
"Liaudin, Jess",Liaudin,Jess,5,166,65.10%,8,53.30%,2,2,0,1
"Larson, Brock",Larson,Brock,6,164,64.30%,9,30.00%,0,6,0,2
"Buentello, Paul",Buentello,Paul,6,163,50.90%,1,50.00%,3,2,1,1
"Massenzio, Mike",Massenzio,Mike,7,163,52.80%,10,24.40%,1,9,0,1
"Ramos, Ricardo",Ramos,Ricardo,4,163,46.20%,4,50.00%,2,4,0,0
"Albu, Alexandra",Albu,Alexandra,3,162,54.90%,5,55.60%,0,2,0,1
"Mohr, Nate",Mohr,Nate,4,162,47.50%,1,50.00%,0,1,0,0
"Steinbeiss, Steve",Steinbeiss,Steve,2,162,74.00%,0,0.00%,0,0,0,0
"Williams, Pete",Williams,Pete,8,162,57.90%,3,50.00%,2,8,0,2
"Lima, Dhiego",Lima,Dhiego,7,162,52.80%,6,66.70%,2,9,0,0
"Reyes, Dominick",Reyes,Dominick,5,162,62.10%,1,25.00%,3,2,0,1
"Drwal, Tomasz",Drwal,Tomasz,6,161,43.40%,9,60.00%,1,8,0,1
"Imes, Brad",Imes,Brad,3,160,37.60%,5,71.40%,0,3,1,0
"Brookins, Jonathan",Brookins,Jonathan,5,157,49.40%,6,15.80%,0,4,0,0
"Kara-France, Kai",Kara-France,Kai,2,157,60.20%,0,-,1,5,1,0
"Credeur, Tim",Credeur,Tim,5,156,33.80%,1,100.00%,2,3,0,1
"Milstead, Adam",Milstead,Adam,4,156,51.50%,0,-,0,0,0,0
"Pedro, Tyson",Pedro,Tyson,6,156,69.30%,2,25.00%,2,4,0,2
"Price, Niko",Price,Niko,8,156,36.70%,4,28.60%,2,6,2,2
"Rinaldi, Jordan",Rinaldi,Jordan,5,155,64.30%,5,45.50%,0,10,1,1
"Henry, Danny",Henry,Danny,2,155,62.50%,1,33.30%,2,8,0,1
"Lister, Dean",Lister,Dean,6,154,46.00%,8,14.80%,0,6,1,2
"Lajcik, Tim",Lajcik,Tim,3,153,71.80%,0,0.00%,0,4,0,0
"Horcher, Darrell",Horcher,Darrell,4,153,56.70%,1,50.00%,0,3,1,0
"Arnett, Austin",Arnett,Austin,4,153,50.70%,2,18.20%,0,2,0,0
"Emeev, Ramazan",Emeev,Ramazan,3,152,54.30%,6,33.30%,1,1,0,0
"Ige, Dan",Ige,Dan,3,151,51.70%,5,23.80%,0,9,1,0
"Jensen, Ryan",Jensen,Ryan,8,150,49.70%,4,50.00%,1,3,2,2
"DeSouza, Tony",DeSouza,Tony,6,148,77.90%,6,42.90%,0,6,1,2
"Esquibel, Jodie",Esquibel,Jodie,3,147,40.20%,0,0.00%,0,0,0,0
"Weili, Zhang",Weili,Zhang,3,146,52.30%,2,40.00%,0,3,0,1
"Eklund, Per",Eklund,Per,3,145,78.00%,4,11.10%,0,3,0,1
"Santiago, Jorge",Santiago,Jorge,6,145,41.00%,2,25.00%,1,4,1,0
"van Arsdale, Mike",van Arsdale,Mike,4,145,56.20%,3,20.00%,0,9,1,1
"Bessette, Matt",Bessette,Matt,2,143,42.70%,0,0.00%,0,0,1,0
"Cruz, Marcio",Cruz,Marcio,4,142,58.40%,1,7.10%,0,2,0,1
"Fryklund, Tony",Fryklund,Tony,4,142,72.40%,1,50.00%,1,5,0,1
"Kondo, Yuki",Kondo,Yuki,3,142,82.60%,0,0.00%,2,1,2,0
"Simon, Ricky",Simon,Ricky,3,141,47.80%,23,50.00%,0,12,1,0
"Trizano, Michael",Trizano,Michael,2,141,64.10%,1,50.00%,0,2,1,0
"Silva, Assuerio",Silva,Assuerio,3,140,67.30%,7,38.90%,0,5,0,0
"Tukhugov, Zubaira",Tukhugov,Zubaira,6,139,37.30%,7,46.70%,0,0,0,0
"Zawada, David",Zawada,David,2,137,48.20%,2,22.20%,1,4,1,0
"Berger, Steve",Berger,Steve,3,136,73.50%,1,33.30%,0,1,1,0
"Young, Shane",Young,Shane,3,136,43.50%,2,33.30%,0,2,0,0
"Erosa, Julian",Erosa,Julian,3,135,61.90%,3,75.00%,0,2,0,0
"Sanchez, Roberto",Sanchez,Roberto,3,135,73.40%,5,62.50%,0,2,0,1
"Petruzelli, Seth",Petruzelli,Seth,4,134,57.30%,1,50.00%,2,0,0,0
"Byrd, Charles",Byrd,Charles,3,134,69.80%,3,50.00%,0,9,1,2
"Kassem, Nadia",Kassem,Nadia,3,134,65.70%,0,0.00%,0,1,2,0
"Andy, Reese",Andy,Reese,2,133,68.20%,1,20.00%,0,0,0,0
"Trigg, Frank",Trigg,Frank,7,133,60.70%,2,66.70%,1,4,1,0
"Figueiredo, Deiveson",Figueiredo,Deiveson,4,133,61.30%,7,53.80%,4,9,0,0
"Gumm, Brad",Gumm,Brad,2,131,75.30%,0,0.00%,0,2,2,0
"Roberson, Karl",Roberson,Karl,3,131,68.90%,3,75.00%,0,4,0,1
"Tuivasa, Tai",Tuivasa,Tai,4,131,51.60%,0,0.00%,2,1,0,0
"Koppenhaver, Jon",Koppenhaver,Jon,2,129,81.10%,1,50.00%,0,1,1,0
"Newton, Carlos",Newton,Carlos,7,129,63.90%,10,58.80%,2,8,3,3
"Piechota, Oskar",Piechota,Oskar,3,128,62.10%,2,50.00%,3,9,0,0
"Heath, David",Heath,David,5,127,43.90%,1,50.00%,0,2,0,1
"Sakai, Augusto",Sakai,Augusto,1,125,53.60%,1,100.00%,0,1,0,0
"Correira, Wesley",Correira,Wesley,4,124,56.60%,0,0.00%,1,0,0,0
"Hague, Tim",Hague,Tim,5,124,53.20%,4,33.30%,0,5,0,1
"Whitmire, Emily",Whitmire,Emily,3,124,43.70%,1,50.00%,0,1,1,0
"Singer, Rory",Singer,Rory,4,123,45.10%,1,25.00%,0,2,0,1
"Perez, Markus",Perez,Markus,4,121,53.80%,3,42.90%,0,5,0,1
